Channel	Type	Low			High
11			e			    70	  1370
12			e			    70	  1370
13			e			    70	  1370
14			e			    70	  1370
15			e			    70	  1370
16			e			    70	  1370
17			e			    70	  1370
18			e			    70	  1370
21			e			    70	  1370
22			e			    70	  1370
23			e			    70	  1370
24			e			    70	  1370
25			e			    70	  1370
26			e			    70	  1370
27			e			    70	  1370
28			e			    70	  1370
31			e			    70	  1370
32			e			    70	  1370
33			e			    70	  1370
34			e			    70	  1370
35			e			    70	  1370
36			e			    70	  1370
37			e			    70	  1370
38			e			    70	  1370
41			e			    70	  1370
42			e			    70	  1370
43			e			    70	  1370
44			e			    70	  1370
45			e			    70	  1370
46			e			    70	  1370
47			e			    70	  1370
48			e			    70	  1370
51			e			    70	  1370
52			e			    70	  1370
53			e			    70	  1370
54			e			    70	  1370
55			e			    70	  1370
56			e			    70	  1370
57			e			    70	  1370
58			e			    70	  1370
61			e			    70	  1370
62			e			    70	  1370
63			e			    70	  1370
64			e			    70	  1370
65			e			    70	  1370
66			e			    70	  1370
67			e			    70	  1370
68			e			    70	  1370
71			e			    70	  1370
72			e			    70	  1370
73			e			    70	  1370
74			e			    70	  1370
75			e			    70	  1370
76			e			    70	  1370
77			e			    70	  1370
78			e			    70	  1370
81			e			    70	  1370
82			e			    70	  1370
83			e			    70	  1370
84			e			    70	  1370
11			t			103940	296059
12			t			108728	291272
13			t			 96002	303998
14			t			127334	272665
15			t			160824	239175
16			t			130424	269575
17			t			118941	281059
18			t			 78706	321294
21			t			111346	288654
22			t			111476	288523
23			t			135969	264030
24			t			137515	262484
25			t			161776	238223
26			t			137058	262941
27			t			132814	267185
28			t			126542	273457
31			t			 71575	328425
32			t			130747	269252
33			t			141696	258303
34			t			159633	240366
35			t			161777	238223
36			t			118478	281521
37			t			144188	255811
38			t			140730	259269
41			t			156140	243859
42			t			162747	237252
43			t			164020	235979
44			t			164121	235878
45			t			154778	245221
46			t			149780	250219
47			t			143960	256039
48			t			144073	255926
51			t			 47858	352142
52			t			136731	263268
53			t			164224	235775
54			t			164680	235320
55			t			162080	237919
56			t			161734	238265
57			t			161214	238785
58			t			162355	237644
61			t			132475	267525
62			t			127711	272288
63			t			143108	256891
64			t			161688	238312
65			t			161237	238762
66			t			136346	263653
67			t			140000	290000
68			t			142593	257406
71			t			180000	220000
72			t			165039	235039
73			t			145793	254206
74			t			163464	236535
75			t			169630	230370
76			t			169092	230908
77			t			165928	234072
78			t			165084	234916
81			t			175000	225000
82			t			146088	253911
83			t			150000	220000
84			t			159019	240980
90			t			153452	246548
91			t			153331	246669
11			N			     0	 54174
12			N			     0	 54174
13			N			     0	 54174
14			N			     0	 54174
15			N			     0	 54174
16			N			     0	 54174
17			N			     0	 54174
18			N			     0	 54174
21			N			     0	 54174
22			N			     0	 54174
23			N			     0	 54174
24			N			     0	 54174
25			N			     0	 54174
26			N			     0	 54174
27			N			     0	 54174
28			N			     0	 54174
31			N			     0	 54174
32			N			     0	 54174
33			N			     0	 54174
34			N			     0	 54174
35			N			     0	 54174
36			N			     0	 54174
37			N			     0	 54174
38			N			     0	 54174
41			N			     0	 54174
42			N			     0	 54174
43			N			     0	 54174
44			N			     0	 54174
45			N			     0	 54174
46			N			     0	 54174
47			N			     0	 54174
48			N			     0	 54174
51			N			     0	 54174
52			N			     0	 54174
53			N			     0	 54174
54			N			     0	 54174
55			N			     0	 54174
56			N			     0	 54174
57			N			     0	 54174
58			N			     0	 54174
61			N			     0	 54174
62			N			     0	 54174
63			N			     0	 54174
64			N			     0	 54174
65			N			     0	 54174
66			N			     0	 54174
67			N			     0	 54174
68			N			     0	 54174
71			N			     0	 54174
72			N			     0	 54174
73			N			     0	 54174
74			N			     0	 54174
75			N			     0	 54174
